email,first_name,last_name,job,employee_roles,department,unit,line_manager
smith@example.com,Jane,Doe,Admin,Manager,Finance,Recruitment,"Charlie Manager"
smith@example.com,Jane,Doe,Staff,Admin,Finance,Accounting,"Bob Manager"
john@example.com,Jane,Doe,Admin,Staff,Finance,"IT Support","Alice Manager"
john@example.com,Jane,Doe,Admin,Admin,IT,Accounting,"Bob Manager"
john@example.com,John,Doe,Admin,Staff,HR,Recruitment,"Charlie Manager"
john@example.com,Jane,Doe,Staff,Admin,HR,Accounting,"Charlie Manager"
jane@example.com,Jane,Doe,Staff,Manager,Finance,Accounting,"Charlie Manager"
john@example.com,Jane,Smith,Admin,Manager,HR,"IT Support","Bob Manager"
smith@example.com,Jane,Doe,Admin,Manager,IT,Accounting,"Bob Manager"
jane@example.com,Jane,Doe,Admin,Staff,IT,Accounting,"Bob Manager"
smith@example.com,John,Doe,Staff,Staff,IT,Recruitment,"Alice Manager"
john@example.com,Jane,Smith,Admin,Staff,IT,"IT Support","Charlie Manager"
john@example.com,Jane,Smith,Manager,Manager,HR,Recruitment,"Charlie Manager"
john@example.com,Smith,Doe,Manager,Manager,Finance,Accounting,"Bob Manager"
jane@example.com,Jane,Doe,Admin,Admin,Finance,"IT Support","Charlie Manager"
jane@example.com,Smith,Doe,Admin,Staff,IT,Recruitment,"Bob Manager"
jane@example.com,Jane,Smith,Admin,Manager,HR,"IT Support","Charlie Manager"
smith@example.com,Smith,Doe,Admin,Admin,Finance,Recruitment,"Bob Manager"
john@example.com,Smith,Doe,Staff,Staff,Finance,Accounting,"Alice Manager"
smith@example.com,John,Smith,Manager,Admin,IT,Recruitment,"Bob Manager"
jane@example.com,John,Doe,Admin,Admin,HR,Accounting,"Alice Manager"
jane@example.com,Smith,Doe,Manager,Manager,IT,Accounting,"Charlie Manager"
john@example.com,Smith,Smith,Admin,Staff,Finance,"IT Support","Bob Manager"
jane@example.com,John,Smith,Staff,Staff,Finance,Recruitment,"Alice Manager"
jane@example.com,Smith,Smith,Manager,Manager,HR,Recruitment,"Bob Manager"
jane@example.com,Smith,Doe,Manager,Admin,IT,Accounting,"Charlie Manager"
jane@example.com,John,Doe,Manager,Manager,Finance,"IT Support","Bob Manager"
jane@example.com,John,Smith,Admin,Admin,Finance,"IT Support","Alice Manager"
john@example.com,John,Smith,Manager,Staff,HR,Recruitment,"Bob Manager"
smith@example.com,Jane,Doe,Staff,Admin,IT,Accounting,"Charlie Manager"
john@example.com,John,Smith,Manager,Admin,IT,Accounting,"Bob Manager"
jane@example.com,John,Smith,Admin,Admin,HR,Recruitment,"Charlie Manager"
john@example.com,Smith,Doe,Staff,Staff,IT,Recruitment,"Alice Manager"
jane@example.com,Jane,Doe,Admin,Manager,Finance,"IT Support","Bob Manager"
smith@example.com,Jane,Smith,Admin,Admin,HR,"IT Support","Charlie Manager"
jane@example.com,Jane,Doe,Manager,Manager,Finance,Accounting,"Bob Manager"
jane@example.com,Jane,Doe,Staff,Staff,Finance,Recruitment,"Charlie Manager"
jane@example.com,John,Doe,Manager,Staff,HR,Accounting,"Bob Manager"
john@example.com,Smith,Doe,Manager,Admin,IT,Recruitment,"Charlie Manager"
jane@example.com,John,Smith,Manager,Manager,HR,"IT Support","Bob Manager"
smith@example.com,Smith,Doe,Staff,Manager,IT,Recruitment,"Bob Manager"
jane@example.com,John,Smith,Staff,Admin,IT,Accounting,"Bob Manager"
john@example.com,John,Doe,Manager,Manager,HR,Recruitment,"Alice Manager"
smith@example.com,Jane,Doe,Manager,Manager,Finance,Recruitment,"Charlie Manager"
smith@example.com,Jane,Smith,Manager,Manager,IT,Accounting,"Alice Manager"
jane@example.com,Jane,Smith,Manager,Staff,HR,Recruitment,"Alice Manager"
jane@example.com,Jane,Doe,Staff,Admin,IT,"IT Support","Alice Manager"
jane@example.com,John,Smith,Staff,Staff,Finance,Accounting,"Alice Manager"
jane@example.com,Smith,Doe,Admin,Manager,Finance,Accounting,"Alice Manager"
john@example.com,Jane,Smith,Manager,Manager,Finance,Accounting,"Alice Manager"
